order_id,customer_id,product_category,product_price,quantity,order_date,region,payment_method,delivery_days,is_returned,customer_rating,discount_percent,revenue
30,451b4cf3-6123-4df7-b656-af7229d4beef,Automotive,318.6,3,2023-08-13,Europe,PayPal,1,0,2.5,10,860.22
31,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Beauty,349.43,3,2025-05-14,North America,CreditCard,4,0,2.0,5,995.88
32,5304317f-af42-412f-b838-b3268e944239,Sports,117.12,4,2025-08-16,South America,BankTransfer,8,0,3.2,15,398.21
33,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Toys,73.07,4,2023-08-23,Europe,BankTransfer,2,0,4.8,10,263.05
34,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Automotive,119.412,5,2024-11-27,Oceania,CreditCard,9,0,3.5,0,597.06
35,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,Home,448.335,5,2023-11-20,South America,Cash,7,0,3.0,5,2129.59
36,9132b63e-f162-47e4-a9c3-49e03602f8ac,Electronics,364.35,3,2024-06-23,Oceania,PayPal,6,0,4.3,15,929.09
37,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Toys,46.65,4,2024-09-03,Europe,PayPal,4,0,3.7,15,158.61
38,e27a984d-6548-41d0-bfcd-9eb1a7cad415,Fashion,423.333,2,2023-11-27,Asia,CreditCard,2,0,3.5,0,846.67
39,24933b83-7577-40a9-a491-f0b2ea1fca65,Toys,497.26,4,2025-09-27,Asia,CreditCard,1,0,3.5,10,1790.14
40,beb79919-3f22-4af8-a3be-d01d43cf2fde,Electronics,186.4,3,2024-09-21,Asia,PayPal,1,0,3.6,5,531.24
41,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Electronics,319.98,5,2023-06-11,North America,CreditCard,8,0,3.9,0,1599.9
42,956269f0-e5d7-4875-adad-d6c795a76d79,Beauty,253.81,4,2023-05-22,South America,PayPal,1,0,2.6,5,964.48
43,ff50bde4-3825-47b8-9cab-cc97663f1c97,Fashion,143.98,3,2025-08-31,Oceania,PayPal,1,0,5.0,10,388.75
44,7e570ddf-8270-40a8-a369-b584ff5e9ff0,Home,143.38,3,2025-05-16,Africa,PayPal,5,0,4.8,10,387.13
45,dc713d96-0c0f-4195-817a-f08a1745d6d8,Toys,483.49,3,2024-02-16,Oceania,BankTransfer,4,0,2.9,20,1160.38
46,28f49481-a0a0-4dc4-a720-9bdf1c11f735,Sports,426.31,3,2025-02-03,Oceania,Cash,9,0,3.2,0,1278.93
47,98ae4334-6c12-4ce8-ae34-0454cac5b68c,Toys,465.36,2,2023-09-05,South America,PayPal,6,0,3.1,5,884.18
48,988c24c9-61b1-4d22-a280-1c4510435a10,Fashion,136.053,3,2024-11-23,Europe,CreditCard,1,0,2.4,10,367.34
49,405cacec-8774-49a9-b7d2-1e02ff01cf99,Toys,278.65,2,2024-04-16,Africa,PayPal,3,0,2.8,10,501.57
50,f143262f-dc5c-4eed-8da0-365bf89897b9,Electronics,45.39,1,2023-05-01,Europe,PayPal,4,0,3.9,5,43.12
51,1d53434b-b881-49b9-ae27-0da702f06b90,Electronics,359.028,5,2024-11-07,Europe,CreditCard,2,0,2.3,15,1525.87
52,c0398710-8976-4334-a281-7efdae849217,Toys,22.79,1,2024-07-24,North America,Cash,6,0,3.8,0,22.79
53,5715bd6f-a416-4293-84c2-e2e3444ea7c8,Fashion,23.49,3,2023-09-28,Africa,Cash,1,0,4.5,0,70.47
54,287d06ca-6f4c-469a-8b22-d3081c8eaee9,Fashion,482.8,4,2025-04-13,South America,PayPal,4,0,3.2,10,1738.08
55,b8db0672-f42d-47cc-80d4-af5974273ca3,Electronics,73.48,5,2025-06-01,Europe,BankTransfer,3,0,4.4,20,293.92
56,f8cda88b-436d-46e2-b83c-fe0be037e5ed,Sports,222.29,2,2025-08-14,South America,CreditCard,5,0,2.2,0,444.58
57,81f76d1c-2dbc-4134-830f-f46e8026695f,Beauty,345.81,1,2023-07-21,Oceania,CreditCard,1,0,3.3,0,345.81
58,a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Sports,46.323,2,2024-11-25,Oceania,CreditCard,5,0,3.9,5,88.01
59,81f631d4-a392-41a7-9777-a4774c66e0a8,Fashion,330.27,5,2024-01-25,North America,Cash,7,0,2.1,5,1568.78
60,5fb8d16c-2720-497d-b2eb-d6899be578c7,Fashion,83.53,1,2024-01-11,South America,BankTransfer,5,0,2.3,0,83.53
61,f4188f3f-8a14-4e62-a95b-4715c333e861,Sports,489.86,5,2023-06-04,North America,Cash,5,0,3.4,0,2449.3
62,eb2263dd-87c5-421e-ac24-a3c5c754108f,Automotive,219.76,2,2023-07-20,Africa,CreditCard,5,0,4.7,5,417.54
63,7d154385-52fb-443b-9954-6eb400257ad1,Beauty,12.58,3,2023-01-31,Africa,CreditCard,1,0,3.6,5,35.85
64,5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Automotive,309.85,2,2023-12-07,North America,Cash,4,0,3.7,0,619.7
65,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Sports,323.43,1,2024-03-13,South America,Cash,5,0,3.9,10,291.09
66,3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Electronics,327.48,3,2025-02-15,North America,CreditCard,2,0,2.1,0,982.44
67,14296c07-f26b-4776-913e-4de2e0c53cb8,Sports,171.59,2,2025-07-20,Asia,BankTransfer,2,0,2.8,0,343.18
68,d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Sports,347.98,2,2025-09-23,Oceania,PayPal,8,0,4.2,5,661.16
69,885f6e66-c2b6-42c5-ba5d-310011b7e948,Fashion,144.61,2,2024-03-21,Asia,CreditCard,8,1,4.4,0,289.22
70,a8e56e0c-20de-435d-a031-d750c40db9b4,Toys,209.25,2,2023-05-05,Oceania,BankTransfer,8,0,4.6,0,418.5
71,2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,Electronics,123.11,5,2025-09-03,Europe,PayPal,3,0,2.3,10,554.0
72,9b49bd26-df57-459a-8715-a10343dac043,Electronics,255.1,1,2023-06-14,Africa,PayPal,3,0,3.2,0,255.1
73,edcd465e-3638-4821-b6e0-7cc06c52c49f,Electronics,453.16,4,2023-05-20,Africa,PayPal,4,0,3.7,0,1812.64
74,b09b2a5c-badc-432a-8159-0f538a0f4efb,Sports,226.98,3,2024-05-19,Europe,CreditCard,4,0,4.0,5,646.89
75,66245bfa-4fcc-439a-b683-d2e6337ea2df,Toys,396.83,1,2025-05-08,Europe,BankTransfer,5,0,3.5,0,396.83
76,5f987c71-a65e-488e-abf3-ad39fec21bbe,Home,277.02,5,2024-10-05,North America,PayPal,2,0,4.9,10,1246.59
77,7394988f-847f-49b4-a64d-1bcb702753a1,Home,419.3,1,2023-09-26,South America,BankTransfer,7,0,3.3,0,419.3
78,1064005c-3985-43cf-bf76-be1d1efa2197,Sports,201.34,3,2023-05-29,Asia,CreditCard,5,0,3.5,10,543.62
79,8dcdcd03-969b-4662-8562-8059568cc69b,Sports,292.75,5,2023-07-24,Africa,CreditCard,4,0,2.7,0,1463.75
80,01d74256-3860-4ab6-96a4-02f23ae8cc93,Toys,268.182,5,2025-11-02,North America,BankTransfer,3,0,4.3,0,1340.91
81,0f1259e0-a18f-46b6-b535-106e122c9a56,Fashion,214.99,2,2023-05-21,Asia,PayPal,3,0,2.8,0,429.98
82,080aadfb-e7c9-4b26-9141-25c63a9bedd4,Home,259.092,5,2023-11-20,Asia,Cash,9,0,4.2,0,1295.46
83,839fbc50-1223-4513-9496-f63cdc1110c1,Automotive,122.57,1,2024-09-11,Africa,CreditCard,1,0,2.2,0,122.57
84,7c441fe7-ab42-40a7-874a-493b3ceddf2d,Beauty,220.99,2,2024-09-05,Africa,CreditCard,5,0,2.1,0,441.98
85,b92da22b-21df-406f-8a0b-3c3336d8393a,Fashion,459.96,4,2023-08-25,Asia,CreditCard,4,0,2.2,5,1747.85
86,93829b43-922f-415a-a1e3-db63ef7ddc76,Beauty,101.088,2,2023-11-15,Africa,BankTransfer,6,0,3.2,5,192.07
87,7914c120-c8dc-419f-be35-11287900f7f9,Home,458.05,2,2024-03-07,Africa,BankTransfer,8,0,3.2,20,732.88
88,1825bc54-30be-445f-a835-14f2ceb81f9d,Fashion,171.15,2,2024-06-24,Oceania,Cash,8,0,3.1,0,342.3
89,5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Home,43.48,1,2023-07-09,Europe,Cash,6,0,2.1,0,43.48
90,dd2467ac-778e-4db3-a93d-ffbc6c6fa611,Automotive,208.55,5,2023-04-01,Asia,CreditCard,3,0,4.5,5,990.61
91,a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Home,364.23,1,2024-06-20,North America,PayPal,8,0,4.6,0,364.23
92,0f844fef-1931-49ee-a56c-0941fbf24050,Beauty,86.59,1,2025-05-25,South America,CreditCard,2,0,5.0,10,77.93
93,ccf3a171-56dc-4907-ba6c-34ab6712303a,Electronics,269.181,2,2023-11-02,Europe,CreditCard,1,0,4.5,20,430.69
94,310c0c00-3fa7-4104-9bf9-0e27dc96925e,Automotive,210.34,1,2023-10-31,Asia,Cash,7,0,4.6,0,210.34
95,23e2fcb4-72d8-467d-894a-05e430b187ef,Fashion,499.86,3,2024-09-23,Europe,BankTransfer,5,0,4.2,5,1424.6
96,766ecb15-474e-4c19-aef9-12766c006f61,Automotive,192.04,5,2025-01-02,Europe,PayPal,1,0,4.9,0,960.2
97,134c6c92-ec5b-427c-9fde-4fbf3ff350bf,Beauty,118.18,1,2023-07-30,North America,BankTransfer,2,0,3.1,10,106.36
98,db20a56e-dc81-4fe7-8eda-8bbb71710434,Automotive,337.43,2,2025-04-12,Africa,PayPal,3,0,3.6,0,674.86
99,a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Fashion,278.19,5,2023-12-29,North America,Cash,9,0,3.8,0,1390.95
100,03c72ba8-d605-4770-8a63-f881ffd0f9d5,Electronics,191.853,6,2024-11-11,North America,Cash,2,0,4.4,5,1093.56
101,c0e9ab30-ed26-42e9-97e0-11b7f8102383,Automotive,310.55,2,2024-05-23,Oceania,BankTransfer,2,0,3.9,0,621.1
102,680ac07a-2a93-4d62-bc83-5dc0d9441fa5,Fashion,50.05,2,2023-08-10,Oceania,Cash,6,1,3.4,0,100.1
103,dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,Automotive,152.49,2,2025-08-21,Europe,PayPal,5,0,4.4,15,259.23
104,2a25a888-0f02-4ad0-a706-7ef466aa9385,Fashion,421.84,1,2024-12-17,South America,BankTransfer,8,0,2.1,0,421.84
105,63f2ae24-fc3d-4348-808d-4127610461e3,Automotive,176.97,3,2024-04-01,North America,CreditCard,3,0,3.6,5,504.36
106,c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Beauty,294.46,3,2025-03-27,North America,BankTransfer,8,0,2.5,0,883.38
107,b253d218-6c4a-47ea-8906-17f2747b6dba,Home,208.77,3,2024-07-25,Europe,BankTransfer,2,0,3.8,5,594.99
108,c88a618e-fed4-457d-bb02-6576f512c4c3,Beauty,411.79,2,2025-03-29,Africa,BankTransfer,6,0,2.3,0,823.58
109,7c967f79-b7e9-4aca-a970-65e18e46d534,Electronics,233.09,2,2024-06-18,Europe,PayPal,1,0,3.5,15,396.25
110,37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,Toys,24.46,1,2023-03-20,Asia,CreditCard,6,0,2.2,0,24.46
111,bc594585-9445-48c0-8ef8-c2d6f7fd5646,Toys,460.83,5,2024-12-08,South America,BankTransfer,4,0,4.4,0,2304.15
112,504867ba-bf7b-439b-8f9a-ea4b8acd4e10,Sports,86.706,3,2025-11-13,Africa,CreditCard,8,0,4.2,10,234.11
113,7a0ecfea-958c-49ba-8cd6-20c20ea2622b,Sports,78.13,3,2024-01-25,Africa,BankTransfer,7,0,3.5,10,210.95
114,87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Electronics,58.05,2,2025-06-12,Oceania,CreditCard,3,0,2.7,0,116.1
115,82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Toys,191.76,2,2024-02-08,Africa,BankTransfer,1,0,2.6,5,364.34
116,118a9d29-2f92-4996-99f1-95d014822f53,Sports,57.852,2,2024-11-07,Europe,BankTransfer,9,0,4.0,0,115.7
117,dca02eec-acda-4acc-9165-e21098543881,Beauty,251.73,4,2024-09-07,Europe,BankTransfer,2,0,3.7,5,956.57
118,f10c718b-1eb0-438a-a75d-d5af3c365296,Beauty,284.41,2,2024-10-30,South America,Cash,6,0,4.7,0,568.82
119,94340a03-3f07-4814-91d6-3f78e3e9de99,Beauty,125.95,3,2023-09-18,Asia,PayPal,5,0,4.8,20,302.28
120,14fcdd54-9e8f-4965-8a2c-827e98326856,Sports,116.54,4,2025-02-15,Oceania,PayPal,8,0,4.7,15,396.24
121,90b2b633-956b-4c0c-a849-9b926b5252e3,Toys,264.63,5,2024-09-08,Africa,Cash,6,1,3.2,20,1058.52
122,42c18a62-ef48-48d5-90fd-9d3f85d51695,Toys,433.43,1,2024-09-14,Europe,BankTransfer,6,0,4.0,0,433.43
123,506e5a9a-b758-488d-ab73-295b344a54b8,Fashion,280.6,2,2024-10-21,South America,Cash,5,0,2.6,0,561.2
124,21813d25-6552-48a6-83ff-50113d1a85dd,Sports,215.59,1,2024-03-13,South America,Cash,1,0,3.8,10,194.03
125,750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Automotive,292.71,3,2023-12-14,Oceania,CreditCard,3,0,2.2,15,746.41
126,ef8c485b-c07a-40f2-add4-253b50f0fd0a,Home,64.38600000000001,3,2024-11-17,Africa,CreditCard,8,0,4.4,20,154.53
127,9f044aed-7552-4327-8262-7f7312922f83,Automotive,342.34,1,2024-09-27,North America,PayPal,8,0,3.8,0,342.34
128,19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Automotive,57.82,5,2023-10-29,North America,CreditCard,2,0,2.4,10,260.19
129,8181a8cc-3691-47eb-89a2-688b12c136e0,Electronics,469.48,4,2025-08-31,North America,CreditCard,1,0,4.2,0,1877.92
130,5958a499-eeea-463e-a1e8-ac6843e42caf,Sports,421.71,3,2024-02-03,South America,Cash,3,0,2.5,10,1138.62
131,3e896c64-e117-4ac3-919c-4ea3e1805081,Sports,334.27,2,2024-05-14,South America,PayPal,9,0,4.6,15,568.26
132,702cdd20-2862-48b8-88f4-ef125e9953d2,Beauty,409.22,3,2023-01-12,Oceania,CreditCard,1,0,4.2,5,1166.28
133,4d71c366-b41b-4143-8b10-550cd5704f32,Automotive,119.95,1,2024-03-24,South America,PayPal,2,0,3.6,0,119.95
134,ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,Automotive,282.6,4,2025-11-26,Oceania,Cash,3,0,3.9,0,1130.4
135,aaf91531-0200-41f0-8768-a84fa76afde6,Electronics,73.94,5,2024-05-25,Africa,CreditCard,7,1,3.7,0,369.7
136,ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,Sports,377.44,5,2025-08-09,North America,BankTransfer,7,0,2.4,0,1887.2
137,e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,Automotive,358.46,5,2025-10-30,South America,Cash,1,0,2.3,15,1523.46
138,e3c43657-1d8c-4bac-83b4-09ef2260e70f,Automotive,192.52,5,2025-07-02,Africa,PayPal,8,0,3.5,0,962.6
139,27cb6f2a-8da0-4097-be0f-051b1b66b5a9,Beauty,245.75,4,2025-07-10,South America,BankTransfer,2,0,2.0,10,884.7
140,35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Automotive,284.93,2,2024-07-21,North America,Cash,5,1,4.5,0,569.86
141,afffcfd2-341e-440b-97c7-00aab7b56ea7,Beauty,174.55,2,2024-07-16,North America,Cash,8,0,3.5,15,296.74
142,81627cf1-4394-42e6-9a58-7e8aa25d6b29,Electronics,13.96,4,2024-08-08,Oceania,PayPal,4,0,4.8,5,53.05
143,e87d1c78-e7c4-41c7-8049-7b717d106c60,Home,16.4,2,2024-10-16,Asia,CreditCard,9,0,3.3,10,29.52
144,a2607723-17a0-4f49-8d01-280fd89a40c0,Fashion,467.51,3,2024-04-18,North America,Cash,5,0,5.0,0,1402.53
145,0b49452d-46d4-43f3-9450-281c6c6f7633,Beauty,66.71,1,2024-03-14,North America,CreditCard,6,0,3.6,0,66.71
146,217d65a0-c568-41cd-9563-f61600e85ece,Sports,182.259,2,2024-11-08,South America,Cash,4,0,4.4,10,328.07
147,295d6fbf-430f-401d-bad4-09e2a319dcb4,Sports,61.56,4,2024-02-28,Europe,Cash,6,0,3.0,5,233.93
148,b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,Sports,370.06,1,2023-02-10,Africa,Cash,3,0,2.7,5,351.56
149,1ca3c448-0279-46a6-8f97-97b06d7ce3c9,Sports,86.93,5,2024-12-21,Europe,BankTransfer,1,0,4.3,15,369.45
150,b0e6a969-e213-42b0-b1ee-dba313432e61,Automotive,113.95,2,2025-05-08,South America,PayPal,7,0,4.9,5,216.5
151,093923de-8bab-4e3b-a628-6bfbe767dcea,Sports,280.87,4,2024-07-12,North America,Cash,8,0,3.5,5,1067.31
152,8d7248e2-951f-48d0-9e84-f058d5a804eb,Sports,38.2,3,2025-03-07,Europe,BankTransfer,3,0,3.0,0,114.6
153,0ab54bde-20a0-4502-ae06-809725e97977,Beauty,314.36,5,2025-04-08,Oceania,PayPal,8,0,3.8,0,1571.8
154,eededb07-e623-4689-9d59-cd2a4eea04e7,Automotive,358.46,2,2023-09-19,South America,CreditCard,1,0,3.2,5,681.07
155,0a368ce7-dc57-4131-b8e1-daa7cbceabde,Sports,81.84,1,2023-02-25,Africa,CreditCard,7,0,4.8,0,81.84
156,ae9bec36-35c7-436c-9b99-62c6e61fecc0,Beauty,139.02,2,2023-10-05,South America,Cash,7,0,4.9,0,278.04
157,5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,Fashion,434.16,1,2024-06-16,Europe,Cash,3,0,2.7,5,412.45
158,dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,Home,14.76,1,2025-07-20,North America,BankTransfer,3,0,4.7,10,13.28
159,bfddc3d9-9ee3-4c2a-b94d-62046808593f,Home,361.8,3,2024-07-23,South America,Cash,8,1,4.4,0,1085.4
160,3c9ad14c-ee0c-4eb5-acfe-db992790cebd,Home,472.48,5,2025-08-21,Europe,CreditCard,7,0,4.7,0,2362.4
161,ccc56569-f9e8-4369-a999-b735dd56cc94,Beauty,47.33,5,2023-04-17,Africa,BankTransfer,3,0,3.7,0,236.65
162,698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a,Fashion,446.87,5,2023-05-21,Oceania,CreditCard,2,0,3.1,0,2234.35
163,ecab3301-bc8f-4d29-adea-94930658663a,Automotive,416.17,5,2024-05-21,Europe,PayPal,9,0,3.3,0,2080.85
164,696608aa-ee49-4329-884a-7b28550a1b46,Automotive,427.032,5,2023-11-09,Europe,PayPal,8,0,5.0,0,2135.16
165,bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,Fashion,95.14,2,2023-08-23,South America,PayPal,9,0,3.6,0,190.28
166,28c13091-444d-410b-bf87-e362cf8d446a,Sports,132.65,3,2024-06-08,Oceania,BankTransfer,2,0,2.8,0,397.95
167,61ee411a-1bac-47a7-b386-f7a4c991603f,Fashion,457.58,5,2023-08-23,Africa,PayPal,9,0,2.8,10,2059.11
168,787f2425-dbcc-4477-89e9-db0adf465290,Home,327.45,2,2023-02-22,Europe,BankTransfer,5,0,2.0,10,589.41
169,eb1fa9f2-d10b-41d0-b317-347038f16a81,Toys,450.51,3,2025-02-07,Oceania,Cash,9,0,3.5,5,1283.95
170,d20eac17-4e20-4d1a-9983-36e375d66ed4,Beauty,419.86,5,2023-06-05,North America,PayPal,2,0,2.5,0,2099.3
171,39118497-3a43-42ba-9f0f-06cbcb9bc326,Electronics,45.99,4,2024-09-09,Oceania,CreditCard,5,0,4.5,10,165.56
172,6601ddd0-3170-4437-a8f7-ef5a060edf5b,Automotive,458.18,3,2023-03-26,Africa,BankTransfer,3,0,4.8,0,1374.54
173,11c58ef0-dd46-4c09-8752-87aa5408f9ac,Toys,477.27,5,2025-01-28,South America,CreditCard,4,0,3.6,0,2386.35
174,59e4b671-4774-4c58-85f8-bc16f7860b50,Toys,379.404,2,2024-11-29,Oceania,CreditCard,2,0,3.9,0,758.81
175,adf4e62d-6651-429e-8268-690ba43825b5,Automotive,175.47,1,2025-09-30,South America,CreditCard,8,0,3.3,0,175.47
176,54c63cd8-8945-4f27-97fa-2d8dfb2ca025,Sports,410.46,5,2025-07-30,Asia,PayPal,3,0,2.8,0,2052.3
177,e08596db-1d87-4966-8710-d430f071d879,Sports,183.68,4,2025-12-04,North America,BankTransfer,1,1,2.4,10,661.25
178,94a1875d-2db6-4edb-82de-ffccf86c2ca2,Toys,225.77,4,2025-09-17,Africa,Cash,8,0,4.3,5,857.93
179,09cb3942-43f5-4a85-bbc9-f87af668a617,Sports,380.72,5,2024-07-03,Oceania,BankTransfer,6,0,4.9,5,1808.42
180,587ef344-6f3f-420c-98b8-e4cc1bc044fc,Automotive,325.1,3,2023-06-27,North America,BankTransfer,7,0,5.0,20,780.24
181,6fb78271-504d-481f-8953-5b63ba81edd9,Sports,239.24,5,2025-08-09,North America,Cash,3,1,4.8,10,1076.58
182,1d9af659-82ec-4f2d-bbf6-e16f9b3080d5,Home,472.41,2,2025-10-09,Europe,BankTransfer,4,0,4.5,10,850.34
183,30a900ad-939b-462d-a645-f129629c2ae3,Fashion,415.31,1,2024-03-10,South America,BankTransfer,8,0,2.7,5,394.54
184,6fa17735-b572-43d0-8b5c-ea6a41357e8c,Automotive,38.781000000000006,6,2024-11-28,Asia,BankTransfer,7,0,3.2,5,221.05
185,ce777f00-ecf2-4e76-8519-7ff4006ed6e3,Toys,402.97,4,2024-07-19,Oceania,CreditCard,9,0,4.2,10,1450.69
186,f0b5156b-b82c-4074-afd5-dea589d7fd6c,Toys,216.27,4,2023-06-25,North America,PayPal,7,1,3.4,0,865.08
187,3270e4fa-abae-4f43-bcae-8081bdf070aa,Beauty,5.12,5,2025-09-27,South America,PayPal,3,0,2.2,5,24.32
188,f2e9702d-11e9-4daa-ae69-81a35d3d9e56,Beauty,31.08,1,2025-10-02,South America,Cash,5,0,3.4,0,31.08
189,9f871ce7-5487-4d4f-abb7-a385aa0b7b14,Automotive,139.49,1,2023-07-10,Europe,BankTransfer,9,0,3.0,10,125.54
190,1fe771d6-d917-4793-a9d3-c2e6505cc686,Fashion,367.47,1,2024-05-13,South America,BankTransfer,8,0,2.9,0,367.47
191,81d2c7de-4ce1-4b90-a669-7833b841d0a0,Beauty,120.64,1,2025-01-25,Africa,Cash,5,0,5.0,0,120.64
192,5380b904-688c-4015-aab9-7e494f2d4796,Toys,195.24,4,2024-12-05,Africa,Cash,5,0,4.4,0,780.96
193,8dedf9fb-4bb0-4f20-b27c-40266703b636,Beauty,190.53,4,2024-11-08,Africa,BankTransfer,2,1,2.5,15,647.8
194,aa38d0a1-6ba2-4efe-b11c-6eb62095eef6,Beauty,119.68,4,2024-07-08,South America,BankTransfer,6,0,3.8,10,430.85
195,bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,Home,119.18,2,2023-09-05,North America,PayPal,9,0,2.6,0,238.36
196,91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,Home,178.31,5,2024-01-15,Europe,PayPal,7,0,4.7,5,846.97
197,d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a,Fashion,497.48,5,2025-09-18,Oceania,BankTransfer,3,0,4.3,0,2487.4
